# Constructed from biom file
#OTU ID	770244.RM	VA033.RM	61.LM.170	69.RML.170	VA011.RM	770256.RM	770365.RM	VA014.RLL	770214.RLL	VA035.RLL	770349.Ling	VA048.RUL	VA008.Lesion	VA038B.LING	770274.RUL	VA032.LLL	770255.RLL	770282.LUL	770341.RUL	770176.RM.170	VA002.RML	770178.LLL.170	770198.LLL.170	770305.LLL	VA016.LUL	770338.LUL	770273.LLL	VA039.RM	770262.RM	61.RLL.167	770312.RM	770183.RM.170	770175.RM.170	770185.LLL.170	59.LLL.167	41.LLL.58.65.170	770190.RLL.170	770183.LLL.170	770206.LM	59.RM.167	42.RML.167	770353.LLL	VA028.RM	62.RM.170	770359.RLL	770210.RLL	770178.RM.170	770174.RM.170	770176.LLL.170	770301.RLL	VA021.RLL	770185.RM.170	770360.RLL	770192.LLL.170	770186.RM.170	770254.LLL	770239.RUL	770230.LLL	VA015.RLL	VA024.RLL	770180.RLL.170	770198.RM.170	770192.RM.170	VA031.RM	770190.LM.170	770278.RMS	770186.LLL.170	770203.1736.RUL.170	770195.RM.170	770328.LM	770195.LLL.170
827773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
585419	31.0	13033.0	511.0	28.0	1.0	2159.0	4179.0	184.0	469.0	0.0	5439.0	264.0	582.0	1.0	55.0	586.0	2.0	5954.0	1343.0	0.0	1054.0	1132.0	7313.0	8467.0	1536.0	3802.0	28966.0	1.0	5696.0	206.0	3682.0	462.0	9290.0	4358.0	2299.0	15667.0	586.0	2583.0	8207.0	9148.0	1329.0	2688.0	3121.0	0.0	1005.0	1469.0	596.0	207.0	0.0	81.0	793.0	1354.0	0.0	0.0	0.0	1.0	3.0	129.0	120.0	344.0	5584.0	863.0	0.0	4770.0	3241.0	223.0	1888.0	240.0	0.0	0.0	1.0
92512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	1.0	0.0	0.0	0.0	37.0	366.0	0.0	8.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	28.0	0.0	0.0	38.0	0.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1081231	0.0	0.0	0.0	0.0	6.0	229.0	0.0	379.0	269.0	69.0	303.0	700.0	515.0	833.0	181.0	342.0	517.0	32.0	272.0	0.0	35.0	0.0	0.0	0.0	678.0	23.0	91.0	776.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	509.0	38.0	0.0	18.0	0.0	0.0	0.0	63.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0
664697	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	3.0	191.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19930	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	59.0	65.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
716473	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	102.0	185.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1060029	0.0	0.0	0.0	23.0	48.0	0.0	0.0	0.0	17.0	0.0	0.0	327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
579924	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	2.0	0.0	40.0	0.0	0.0	2.0	1.0	3.0	4.0	11.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	349.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	11.0	0.0	0.0	1.0	64.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	20.0	2.0	0.0	0.0	0.0
