#SampleID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Intercept	C(Advanced_Stage_label)[T.Local]	C(Advanced_Stage_label)[T.n.a]	C(Smoking_status)[T.Current]	C(Smoking_status)[T.Former]	C(Smoking_status)[T.Never]	C(Smoking_status)[T.current]
1083194	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	3.122829046	-0.307928426	2.078203313	1.582459188	2.006138679	0.934218559	4.518730042
888396	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga	s__	0.301243868	1.736181693	-0.981753834	0.945250667	-0.852928045	0.646795962	-1.09688175
349901	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Coxiellaceae	g__Rickettsiella	s__	-1.725674782	0.620365912	1.586631767	-1.00159704	1.159845841	1.815087054	0.349336979
1114591	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__	g__	s__	-0.657293234	1.447279768	-1.030612596	0.557789809	-1.224092129	1.253448184	-0.222458842
960871	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__	1.211064156	-0.371623261	-0.419521101	-0.651537293	-1.592376116	-0.772967603	4.591646311
979941	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__	s__	-0.50223485	-0.5007302	-1.152030952	-0.530274265	0.48225784	-1.499129202	-0.544408801
2647328	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Actinobacillus	s__	1.552805206	-0.321202202	-2.7311529	0.866923667	0.391997513	-1.15923753	3.134322879
2222	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__pallens	-0.188941989	-0.635065122	1.559175961	-0.640249246	-0.701138261	0.783918146	-0.795746448
1033687	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__	-0.756570969	-0.113348706	2.530171506	1.107692099	-0.104861501	-1.161263135	1.656338302
1048878	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__paradoxus	0.288904872	1.853372769	-1.763455041	0.30189342	-2.352845553	-1.589535143	-1.109038475
